"ONTOLOGY","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0097193","intrinsic apoptotic signaling pathway","7/10","294/18842",0.0238095238095238,44.8619047619048,17.4669212087096,2.41807832086863e-11,3.38877759998533e-08,6.4385586075146e-09,"207/7157/7124/836/596/4318/3091",7
"BP","GO:2001233","regulation of apoptotic signaling pathway","7/10","317/18842",0.0220820189274448,41.6069400630915,16.8017508082597,4.10512125982475e-11,3.38877759998533e-08,6.4385586075146e-09,"207/7157/7124/596/4318/3553/3091",7
"BP","GO:2001234","negative regulation of apoptotic signaling pathway","6/10","199/18842",0.0301507537688442,56.8100502512563,18.2383188520465,2.60950952101464e-10,1.43610007306506e-07,2.72853977986794e-08,"207/7124/596/4318/3553/3091",6
"BP","GO:1901099","negative regulation of signal transduction in absence of ligand","4/10","27/18842",0.148148148148148,279.140740740741,33.3271464340765,6.97897298457261e-10,2.30445687950588e-07,4.37838726190029e-08,"207/7124/596/3553",4
"BP","GO:2001240","negative regulation of extrinsic apoptotic signaling pathway in absence of ligand","4/10","27/18842",0.148148148148148,279.140740740741,33.3271464340765,6.97897298457261e-10,2.30445687950588e-07,4.37838726190029e-08,"207/7124/596/3553",4
"BP","GO:2001239","regulation of extrinsic apoptotic signaling pathway in absence of ligand","4/10","31/18842",0.129032258064516,243.122580645161,31.0895153111705,1.24996850729922e-09,3.43949667591836e-07,6.53492307324857e-08,"207/7124/596/3553",4
"BP","GO:0071214","cellular response to abiotic stimulus","6/10","311/18842",0.0192926045016077,36.3511254019293,14.4856424948181,3.82845641321772e-09,7.90097692277807e-07,1.50115790939326e-07,"7157/7124/836/4318/3553/5728",6
"BP","GO:0104004","cellular response to environmental stimulus","6/10","311/18842",0.0192926045016077,36.3511254019293,14.4856424948181,3.82845641321772e-09,7.90097692277807e-07,1.50115790939326e-07,"7157/7124/836/4318/3553/5728",6
"BP","GO:0097192","extrinsic apoptotic signaling pathway in absence of ligand","4/10","43/18842",0.0930232558139535,175.274418604651,26.3635717564743,4.88756049716758e-09,8.85209842196564e-07,1.68186765899185e-07,"207/7124/596/3553",4
"BP","GO:0038034","signal transduction in absence of ligand","4/10","45/18842",0.0888888888888889,167.484444444444,25.7655489286191,5.8978245088808e-09,8.85209842196564e-07,1.68186765899185e-07,"207/7124/596/3553",4
"BP","GO:0150077","regulation of neuroinflammatory response","4/10","45/18842",0.0888888888888889,167.484444444444,25.7655489286191,5.8978245088808e-09,8.85209842196564e-07,1.68186765899185e-07,"7124/4318/3553/3569",4
"BP","GO:0009314","response to radiation","6/10","354/18842",0.0169491525423729,31.935593220339,13.5400062641358,8.3101036820511e-09,1.1433317649222e-06,2.17229026074669e-07,"207/7157/7124/836/596/4318",6
"BP","GO:0048660","regulation of smooth muscle cell proliferation","5/10","160/18842",0.03125,58.88125,16.942986353215,1.00985224021986e-08,1.28251234507922e-06,2.43672848247383e-07,"207/7124/4318/3569/5728",5
"BP","GO:0048659","smooth muscle cell proliferation","5/10","163/18842",0.0306748466257669,57.79754601227,16.782254980031,1.10870242060764e-08,1.29225948136212e-06,2.45524769961371e-07,"207/7124/4318/3569/5728",5
"BP","GO:0001836","release of cytochrome c from mitochondria","4/10","54/18842",0.0740740740740741,139.57037037037,23.4979910439689,1.24897712303631e-08,1.29225948136212e-06,2.45524769961371e-07,"207/7157/596/4318",4
"BP","GO:2001242","regulation of intrinsic apoptotic signaling pathway","5/10","167/18842",0.029940119760479,56.4131736526946,16.5746629768594,1.2523411085278e-08,1.29225948136212e-06,2.45524769961371e-07,"207/7157/596/4318/3091",5
"BP","GO:1902895","positive regulation of miRNA transcription","4/10","55/18842",0.0727272727272727,137.032727272727,23.2809010117067,1.34659233090463e-08,1.30777878724915e-06,2.48473383659183e-07,"7157/7124/3091/3569",4
"BP","GO:0010573","vascular endothelial growth factor production","4/10","63/18842",0.0634920634920635,119.631746031746,21.7339527329515,2.34707399654073e-08,2.15278842682708e-06,4.09022252028735e-07,"7124/3553/3091/3569",4
"BP","GO:2000630","positive regulation of miRNA metabolic process","4/10","64/18842",0.0625,117.7625,21.5611766004304,2.50290641622829e-08,2.17489394378574e-06,4.13222222734643e-07,"7157/7124/3091/3569",4
"BP","GO:0032722","positive regulation of chemokine production","4/10","65/18842",0.0615384615384615,115.950769230769,21.3923851501123,2.66635048460268e-08,2.20107232503952e-06,4.18196023374526e-07,"7124/3553/3091/3569",4
"BP","GO:0043523","regulation of neuron apoptotic process","5/10","201/18842",0.0248756218905473,46.8706467661692,15.0661414714433,3.1717847651608e-08,2.49362697489546e-06,4.73780380961362e-07,"207/7124/836/596/3091",5
"BP","GO:0033002","muscle cell proliferation","5/10","211/18842",0.023696682464455,44.6492890995261,14.6927832430183,4.0439570665992e-08,3.0348059622524e-06,5.76602490835675e-07,"207/7124/4318/3569/5728",5
"BP","GO:1902893","regulation of miRNA transcription","4/10","74/18842",0.0540540540540541,101.848648648649,20.029988393768,4.52104515922831e-08,3.22393577360884e-06,6.12536491781972e-07,"7157/7124/3091/3569",4
"BP","GO:0061614","miRNA transcription","4/10","75/18842",0.0533333333333333,100.490666666667,19.8938710116625,4.77453218095363e-08,3.22393577360884e-06,6.12536491781972e-07,"7157/7124/3091/3569",4
"BP","GO:0060252","positive regulation of glial cell proliferation","3/10","15/18842",0.2,376.84,33.5553536002635,4.88179251000732e-08,3.22393577360884e-06,6.12536491781972e-07,"7124/3553/3569",3
"BP","GO:0051402","neuron apoptotic process","5/10","225/18842",0.0222222222222222,41.8711111111111,14.2120460557963,5.57505486982516e-08,3.54015984233898e-06,6.72617955954615e-07,"207/7124/836/596/3091",5
"BP","GO:0150076","neuroinflammatory response","4/10","80/18842",0.05,94.21,19.2518153551881,6.20483391321512e-08,3.65863599668506e-06,6.95128009826356e-07,"7124/4318/3553/3569",4
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","4/10","80/18842",0.05,94.21,19.2518153551881,6.20483391321512e-08,3.65863599668506e-06,6.95128009826356e-07,"207/7124/596/3553",4
"BP","GO:0071887","leukocyte apoptotic process","4/10","85/18842",0.0470588235294118,88.6682352941177,18.666968312587,7.93346824926789e-08,4.51660554466941e-06,8.58139215347307e-07,"207/7157/836/3569",4
"BP","GO:0071216","cellular response to biotic stimulus","5/10","245/18842",0.0204081632653061,38.4530612244898,13.5972996752578,8.52754837823539e-08,4.64250383319336e-06,8.8205944868604e-07,"7157/7124/4318/3553/3569",5
"BP","GO:2000628","regulation of miRNA metabolic process","4/10","87/18842",0.0459770114942529,86.6298850574713,18.4471893324375,8.71699690060533e-08,4.64250383319336e-06,8.8205944868604e-07,"7157/7124/3091/3569",4
"BP","GO:0048661","positive regulation of smooth muscle cell proliferation","4/10","92/18842",0.0434782608695652,81.9217391304348,17.9292547305744,1.09284295672394e-07,5.63838662984756e-06,1.07127368784123e-06,"207/7124/4318/3569",4
"BP","GO:0032602","chemokine production","4/10","95/18842",0.0421052631578947,79.3347368421053,17.6381915121592,1.24418579731532e-07,5.86900214676453e-06,1.11508982736831e-06,"7124/3553/3091/3569",4
"BP","GO:0032642","regulation of chemokine production","4/10","95/18842",0.0421052631578947,79.3347368421053,17.6381915121592,1.24418579731532e-07,5.86900214676453e-06,1.11508982736831e-06,"7124/3553/3091/3569",4
"BP","GO:0050768","negative regulation of neurogenesis","4/10","95/18842",0.0421052631578947,79.3347368421053,17.6381915121592,1.24418579731532e-07,5.86900214676453e-06,1.11508982736831e-06,"7124/3553/3569/5728",4
"BP","GO:0150078","positive regulation of neuroinflammatory response","3/10","21/18842",0.142857142857143,269.171428571429,28.3337826170085,1.42460032987153e-07,6.53337540171639e-06,1.24131841608689e-06,"7124/3553/3569",3
"BP","GO:0008637","apoptotic mitochondrial changes","4/10","99/18842",0.0404040404040404,76.1292929292929,17.270746048259,1.46968129585949e-07,6.55795626882167e-06,1.24598869464048e-06,"207/7157/596/4318",4
"BP","GO:2001243","negative regulation of intrinsic apoptotic signaling pathway","4/10","102/18842",0.0392156862745098,73.8901960784314,17.0093674468428,1.65783984763941e-07,7.1173880824897e-06,1.35227877750769e-06,"207/596/4318/3091",4
"BP","GO:0010586","miRNA metabolic process","4/10","103/18842",0.0388349514563107,73.1728155339806,16.9247712138572,1.72438233373463e-07,7.1173880824897e-06,1.35227877750769e-06,"7157/7124/3091/3569",4
"BP","GO:0051961","negative regulation of nervous system development","4/10","103/18842",0.0388349514563107,73.1728155339806,16.9247712138572,1.72438233373463e-07,7.1173880824897e-06,1.35227877750769e-06,"7124/3553/3569/5728",4
"BP","GO:0002675","positive regulation of acute inflammatory response","3/10","24/18842",0.125,235.525,26.4918193825545,2.16615040651278e-07,8.72271785646977e-06,1.65728580523956e-06,"7124/3553/3569",3
"BP","GO:0062197","cellular response to chemical stress","5/10","301/18842",0.0166112956810631,31.2990033222591,12.2109306744438,2.37533132147152e-07,9.27163032654436e-06,1.76157724971164e-06,"207/7157/836/3091/3569",5
"BP","GO:0032496","response to lipopolysaccharide","5/10","302/18842",0.0165562913907285,31.1953642384106,12.1896891660226,2.4147795520376e-07,9.27163032654436e-06,1.76157724971164e-06,"7124/836/4318/3553/3569",5
"BP","GO:0090594","inflammatory response to wounding","3/10","26/18842",0.115384615384615,217.407692307692,25.4448249658642,2.78105280086483e-07,1.04352685777905e-05,1.98266443698019e-06,"7124/3091/3569",3
"BP","GO:0050995","negative regulation of lipid catabolic process","3/10","27/18842",0.111111111111111,209.355555555556,24.9654045353459,3.12781202934985e-07,1.13738189279102e-05,2.16098571233845e-06,"207/7124/3553",3
"BP","GO:0002237","response to molecule of bacterial origin","5/10","319/18842",0.0156739811912226,29.5329153605016,11.8437594539941,3.16896226943592e-07,1.13738189279102e-05,2.16098571233845e-06,"7124/836/4318/3553/3569",5
"BP","GO:0002696","positive regulation of leukocyte activation","5/10","325/18842",0.0153846153846154,28.9876923076923,11.7280878370476,3.4757657211907e-07,1.20168647497371e-05,2.28316216355106e-06,"207/7124/596/3553/3569",5
"BP","GO:0062012","regulation of small molecule metabolic process","5/10","328/18842",0.0152439024390244,28.7225609756098,11.6714252135079,3.63776281817999e-07,1.20168647497371e-05,2.28316216355106e-06,"207/7157/7124/3553/3091",5
"BP","GO:0034763","negative regulation of transmembrane transport","4/10","124/18842",0.032258064516129,60.7806451612903,15.3902427797262,3.6392685492844e-07,1.20168647497371e-05,2.28316216355106e-06,"207/7124/4318/3553",4
"BP","GO:0043467","regulation of generation of precursor metabolites and energy","4/10","124/18842",0.032258064516129,60.7806451612903,15.3902427797262,3.6392685492844e-07,1.20168647497371e-05,2.28316216355106e-06,"207/7157/7124/3091",4
"BP","GO:0060251","regulation of glial cell proliferation","3/10","29/18842",0.103448275862069,194.91724137931,24.081866670928,3.90518027412087e-07,1.26420639854383e-05,2.40194782598146e-06,"7124/3553/3569",3
"BP","GO:2001236","regulation of extrinsic apoptotic signaling pathway","4/10","127/18842",0.031496062992126,59.3448818897638,15.2024457324605,4.0060345946037e-07,1.27191598378667e-05,2.41659576759494e-06,"207/7124/596/3553",4
"BP","GO:0033135","regulation of peptidyl-serine phosphorylation","3/10","30/18842",0.1,188.42,23.6735194664402,4.33787923795387e-07,1.35129030601167e-05,2.56740419644539e-06,"207/3569/5728",3
"BP","GO:0050867","positive regulation of cell activation","5/10","345/18842",0.0144927536231884,27.3072463768116,11.3641784150736,4.67266106607329e-07,1.42862285557167e-05,2.7143333288301e-06,"207/7124/596/3553/3569",5
"BP","GO:0010575","positive regulation of vascular endothelial growth factor production","3/10","31/18842",0.0967741935483871,182.341935483871,23.2850354756689,4.80131276147683e-07,1.44126679439968e-05,2.73835636922506e-06,"3553/3091/3569",3
"BP","GO:0001503","ossification","5/10","354/18842",0.0141242937853107,26.6129943502825,11.2103912627767,5.30800686030449e-07,1.56491416542191e-05,2.97328203829086e-06,"207/7124/3091/3569/5728",5
"BP","GO:0030099","myeloid cell differentiation","5/10","364/18842",0.0137362637362637,25.8818681318681,11.0461248243518,6.09239092556883e-07,1.76465568738845e-05,3.35278392579781e-06,"7124/836/4318/3553/3091",5
"BP","GO:0009410","response to xenobiotic stimulus","5/10","368/18842",0.0135869565217391,25.6005434782609,10.9822643546816,6.43073936405955e-07,1.83054322242454e-05,3.47796793192331e-06,"7157/7124/836/596/3553",5
