"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Cardiovascular disease","hsa05417","Lipid and atherosclerosis","8/10","216/9421",0.037037037037037,34.8925925925926,16.4258304264127,2.90514579497087e-12,4.76443910375223e-10,1.49844362056392e-10,"207/7157/7124/836/596/4318/3553/3569",8
"Human Diseases","Infectious disease: viral","hsa05161","Hepatitis B","7/10","163/9421",0.0429447852760736,40.458282208589,16.5646000078194,4.68862862987998e-11,3.84467547650158e-09,1.20917264665326e-09,"207/7157/7124/836/596/4318/3569",7
"Human Diseases","Infectious disease: viral","hsa05168","Herpes simplex virus 1 infection","7/10","180/9421",0.0388888888888889,36.6372222222222,15.7357764550205,9.46177177720353e-11,5.1724352382046e-09,1.62676076169464e-09,"207/7157/7124/836/596/3553/3569",7
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","6/10","101/9421",0.0594059405940594,55.9663366336634,18.1032725007217,2.65134747337412e-10,1.08705246408339e-08,3.418842794614e-09,"207/7124/836/596/3553/3569",6
"Environmental Information Processing","Signal transduction","hsa04668","TNF signaling pathway","6/10","119/9421",0.0504201680672269,47.5008403361345,16.6400136830503,7.21180404326983e-10,2.3654717261925e-08,7.43954522358362e-09,"207/7124/836/4318/3553/3569",6
"Human Diseases","Infectious disease: viral","hsa05162","Measles","6/10","136/9421",0.0441176470588235,41.5632352941176,15.5316877741202,1.62302654074928e-09,4.43627254471469e-08,1.39523334204762e-08,"207/7157/836/596/3553/3569",6
"Human Diseases","Cardiovascular disease","hsa05418","Fluid shear stress and atherosclerosis","6/10","142/9421",0.0422535211267606,39.8070422535211,15.188388349163,2.10834310914703e-09,4.93954671285877e-08,1.55351597516097e-08,"207/7157/7124/596/4318/3553",6
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","6/10","181/9421",0.0331491712707182,31.2298342541436,13.3858709119135,9.12325220814918e-09,1.87026670267058e-07,5.88209681841197e-08,"207/7124/836/596/3553/3569",6
"Human Diseases","Cancer: overview","hsa05205","Proteoglycans in cancer","6/10","204/9421",0.0294117647058824,27.7088235294118,12.5713701324595,1.87197285815869e-08,2.94140442625353e-07,9.25088683481535e-08,"207/7157/7124/836/4318/3091",6
"Human Diseases","Infectious disease: viral","hsa05169","Epstein-Barr virus infection","6/10","205/9421",0.0292682926829268,27.5736585365854,12.5390493699294,1.92769994649244e-08,2.94140442625353e-07,9.25088683481535e-08,"207/7157/7124/836/596/3569",6
"Human Diseases","Cancer: specific types","hsa05222","Small cell lung cancer","5/10","93/9421",0.0537634408602151,50.6505376344086,15.6847906287918,2.03867429881564e-08,2.94140442625353e-07,9.25088683481535e-08,"207/7157/836/596/5728",5
"Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","5/10","94/9421",0.0531914893617021,50.1117021276596,15.5985952569115,2.15224714116112e-08,2.94140442625353e-07,9.25088683481535e-08,"7124/836/4318/3553/3569",5
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","6/10","227/9421",0.026431718061674,24.9013215859031,11.8820167104629,3.55026978872578e-08,4.4788018873156e-07,1.40860906597217e-07,"207/7157/7124/836/3553/3569",6
"Human Diseases","Cancer: specific types","hsa05215","Prostate cancer","5/10","106/9421",0.0471698113207547,44.438679245283,14.6603952679828,3.95231596651552e-08,4.62985584648961e-07,1.45611640871624e-07,"207/7157/596/4318/5728",5
"Human Diseases","Infectious disease: bacterial","hsa05132","Salmonella infection","6/10","249/9421",0.0240963855421687,22.7012048192771,11.3125122141249,6.17060378585827e-08,6.74652680587171e-07,2.12182165268109e-07,"207/7124/836/596/3553/3569",6
"Environmental Information Processing","Signal transduction","hsa04071","Sphingolipid signaling pathway","5/10","125/9421",0.04,37.684,13.4583307867494,9.06951034696224e-08,9.29624810563629e-07,2.92372373027072e-07,"207/7157/7124/596/5728",5
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","5/10","138/9421",0.036231884057971,34.1340579710145,12.781374510383,1.4902365020743e-07,1.43763991964815e-06,4.52146059452883e-07,"207/7157/7124/836/596",5
