Gene Symbol,Database
MET,GeneCards
VHL,GeneCards
FLCN,GeneCards
HNF1A,GeneCards
MTOR,GeneCards
HNF1B,GeneCards
PRCC,GeneCards
PBRM1,GeneCards
TFE3,GeneCards
FH,GeneCards
BAP1,GeneCards
PTEN,GeneCards
LOC107303340,GeneCards
TP53,GeneCards
ATM,GeneCards
SDHB,GeneCards
TSC2,GeneCards
SETD2,GeneCards
TSC1,GeneCards
MITF,GeneCards
SMARCB1,GeneCards
C11orf65,GeneCards
SDHD,GeneCards
OGG1,GeneCards
WT1,GeneCards
EGFR,GeneCards
VEGFA,GeneCards
SDHC,GeneCards
CA9,GeneCards
NF2,GeneCards
LOC126862549,GeneCards
TFEB,GeneCards
HIF1A,GeneCards
RNF139,GeneCards
CHEK2,GeneCards
SLC49A4,GeneCards
CD274,GeneCards
BRAF,GeneCards
CDKN2A,GeneCards
ASPSCR1,GeneCards
KIT,GeneCards
MALAT1,GeneCards
ALK,GeneCards
KRAS,GeneCards
MSH2,GeneCards
SDHA,GeneCards
MLH1,GeneCards
EPAS1,GeneCards
MSH6,GeneCards
COMETT,GeneCards
GPC3,GeneCards
TERT,GeneCards
PDCD1,GeneCards
KDR,GeneCards
ELOC,GeneCards
MIR21,GeneCards
RET,GeneCards
PMS2,GeneCards
SFPQ,GeneCards
CTNNB1,GeneCards
TMEM127,GeneCards
NONO,GeneCards
LNCSRLR,GeneCards
PIK3CA,GeneCards
MIR145,GeneCards
SDHAF2,GeneCards
EPCAM,GeneCards
IFNA2,GeneCards
EGLN3,GeneCards
CDH1,GeneCards
CCND1,GeneCards
PDGFRA,GeneCards
STK11,GeneCards
RB1,GeneCards
HRAS,GeneCards
BRCA2,GeneCards
SMARCA4,GeneCards
PAX8,GeneCards
MEG3,GeneCards
FLT1,GeneCards
GAS5,GeneCards
CRP,GeneCards
DICER1,GeneCards
KRT7,GeneCards
AKT1,GeneCards
APC,GeneCards
CDKN1B,GeneCards
CTNNA1,GeneCards
FHIT,GeneCards
NF1,GeneCards
TUG1,GeneCards
