Gene_Symbol,Database
KIF1B,OMIM
MTOR,OMIM
SDHB,OMIM
PLA2G2A,OMIM
RCC1,OMIM
NRAS,OMIM
PRCC,OMIM
CDC73,OMIM
GFND1,OMIM
KDM5B,OMIM
FH,OMIM
EPAS1,OMIM
TMEM127,OMIM
BUB1,OMIM
COL4A3,OMIM
OGG1,OMIM
VHL,OMIM
PPARG,OMIM
RAF1,OMIM
TRICY1,OMIM
CTNNB1,OMIM
SETD2,OMIM
MANF,OMIM
BAP1,OMIM
PBRM1,OMIM
MITF,OMIM
ROBO1,OMIM
PIK3CA,OMIM
FGFR3,OMIM
FGF5,OMIM
TET2,OMIM
TLR2,OMIM
TERT,OMIM
APC,OMIM
MCC,OMIM
TRIM36,OMIM
NPM1,OMIM
RRAGD,OMIM
PTPN12,OMIM
MET,OMIM
POT1,OMIM
BRAF,OMIM
DLC1,OMIM
PDGFRL,OMIM
RAD54B,OMIM
RNF139,OMIM
KANK1,OMIM
CD274,OMIM
FBP1,OMIM
SET,OMIM
TSC1,OMIM
NOTCH1,OMIM
RET,OMIM
BMPR1A,OMIM
KLLN,OMIM
PTEN,OMIM
HRAS,OMIM
CCDC34,OMIM
WT1,OMIM
PTPRJ,OMIM
FIBP,OMIM
CCND1,OMIM
SDHD,OMIM
PRDM10,OMIM
IRAK4,OMIM
HNF1A,OMIM
BRCA2,OMIM
MAX,OMIM
MLH3,OMIM
AKT1,OMIM
BUB1B,OMIM
CA12,OMIM
TSC2,OMIM
TP53,OMIM
FLCN,OMIM
HNF1B,OMIM
SPOP,OMIM
CLTC,OMIM
AXIN2,OMIM
ASPSCR1,OMIM
DCC,OMIM
NDUFA13,OMIM
APOE,OMIM
BAX,OMIM
RBCK1,OMIM
SRC,OMIM
AURKA,OMIM
SPECC1L,OMIM
EP300,OMIM
TFE3,OMIM
NONO,OMIM
RLIM,OMIM
GPC3,OMIM
L1CAM,OMIM
CMT2A,OMIM
FRAP1,OMIM
SDH2,OMIM
PLA2B,OMIM
CHC1,OMIM
