Mol ID,Molecule Name,Target Name
MOL000122,"1,8-cineole",NOS3
MOL000122,"1,8-cineole",GABRA2
MOL000122,"1,8-cineole",GABRA1
MOL000122,"1,8-cineole",CYP101A1(camC)
MOL000122,"1,8-cineole",PTGS2
MOL000122,"1,8-cineole",GABRA5
MOL000122,"1,8-cineole",ADH1B
MOL000122,"1,8-cineole",ADH1C
MOL000122,"1,8-cineole",CHRNA2
MOL000122,"1,8-cineole",GABRA3
MOL000122,"1,8-cineole",PRODH
MOL001300,PEL,ADH1B
MOL001300,PEL,ADH1C
MOL001300,PEL,cobT
MOL001300,PEL,PRSS3
MOL001300,PEL,ADH1A
MOL001300,PEL,MAOA
MOL001689,acacetin,NOS2
MOL001689,acacetin,PTGS1
MOL001689,acacetin,AR
MOL001689,acacetin,PTGS2
MOL001689,acacetin,DPP4
MOL001689,acacetin,HSP90AA1 / HSP90AB1
MOL001689,acacetin,CDK2
MOL001689,acacetin,PRKACA
MOL001689,acacetin,PRSS1
MOL001689,acacetin,NCOA2
MOL001689,acacetin,NCOA1
MOL001689,acacetin,CALM1
MOL001689,acacetin,PIK3CG
MOL001689,acacetin,CHEK1
MOL001689,acacetin,ADRB2
MOL001689,acacetin,PDE3A
MOL001689,acacetin,RELA
MOL001689,acacetin,BCL2
MOL001689,acacetin,CDKN1A
MOL001689,acacetin,BAX
MOL001689,acacetin,CASP3
MOL001689,acacetin,TP53
MOL001689,acacetin,CASP8
MOL001689,acacetin,FASN
MOL001689,acacetin,FASLG
MOL001689,acacetin,CYP19A1
MOL000173,wogonin,NOS2
MOL000173,wogonin,PTGS1
MOL000173,wogonin,ESR1
MOL000173,wogonin,AR
MOL000173,wogonin,SCN5A
MOL000173,wogonin,PPARG
MOL000173,wogonin,PTGS2
MOL000173,wogonin,RXRA
MOL000173,wogonin,PDE3A
MOL000173,wogonin,DPP4
MOL000173,wogonin,MAPK14
MOL000173,wogonin,GSK3B
MOL000173,wogonin,HSP90AA1 / HSP90AB1
MOL000173,wogonin,CDK2
MOL000173,wogonin,PIK3CG
MOL000173,wogonin,CHEK1
MOL000173,wogonin,PRKACA
MOL000173,wogonin,PRSS1
MOL000173,wogonin,CALM1
MOL000173,wogonin,ADRB2
MOL000173,wogonin,GABRA1
MOL000173,wogonin,RELA
MOL000173,wogonin,AKT1
MOL000173,wogonin,CCND1
MOL000173,wogonin,BCL2
MOL000173,wogonin,CDKN1A
MOL000173,wogonin,EIF6
MOL000173,wogonin,BAX
MOL000173,wogonin,CASP9
MOL000173,wogonin,KDR
MOL000173,wogonin,TNF
MOL000173,wogonin,JUN
MOL000173,wogonin,IL6
MOL000173,wogonin,AHSA1
MOL000173,wogonin,CASP3
MOL000173,wogonin,TP53
