Mol ID,Molecule Name,OB (%),DL
MOL001689,acacetin,34.97,0.24
MOL000173,wogonin,30.68,0.23
MOL000228,(2R)-7-hydroxy-5-methoxy-2-phenylchroman-4-one,55.23,0.2
MOL002714,baicalein,33.52,0.21
MOL002908,"5,8,2'-Trihydroxy-7-methoxyflavone",37.01,0.27
MOL002909,"5,7,2,5-tetrahydroxy-8,6-dimethoxyflavone",33.82,0.45
MOL002910,Carthamidin,41.15,0.24
MOL002911,"2,6,2',4'-tetrahydroxy-6'-methoxychaleone",69.04,0.22
MOL002913,Dihydrobaicalin_qt,40.04,0.21
MOL002914,Eriodyctiol (flavanone),41.35,0.24
MOL002915,Salvigenin,49.07,0.33
MOL002917,"5,2',6'-Trihydroxy-7,8-dimethoxyflavone",45.05,0.33
MOL002925,"5,7,2',6'-Tetrahydroxyflavone",37.01,0.24
MOL002926,dihydrooroxylin A,38.72,0.23
MOL002927,Skullcapflavone II,69.51,0.44
MOL002928,oroxylin a,41.37,0.23
MOL002932,Panicolin,76.26,0.29
MOL002933,"5,7,4'-Trihydroxy-8-methoxyflavone",36.56,0.27
MOL002934,NEOBAICALEIN,104.34,0.44
MOL002937,DIHYDROOROXYLIN,66.06,0.23
MOL000358,beta-sitosterol,36.91,0.75
MOL000359,sitosterol,36.91,0.75
MOL000525,Norwogonin,39.4,0.21
MOL000552,"5,2'-Dihydroxy-6,7,8-trimethoxyflavone",31.71,0.35
MOL000073,ent-Epicatechin,48.96,0.24
MOL000449,Stigmasterol,43.83,0.76
MOL001458,coptisine,30.67,0.86
MOL001490,"bis[(2S)-2-ethylhexyl] benzene-1,2-dicarboxylate",43.59,0.35
MOL001506,Supraene,33.55,0.42
MOL002879,Diop,43.59,0.39
MOL002897,epiberberine,43.09,0.78
MOL008206,Moslosooflavone,44.09,0.25
MOL010415,"11,13-Eicosadienoic acid, methyl ester",39.28,0.23
MOL012245,"5,7,4'-trihydroxy-6-methoxyflavanone",36.63,0.27
MOL012246,"5,7,4'-trihydroxy-8-methoxyflavanone",74.24,0.26
MOL012266,rivularin,37.94,0.37
